,url,start,end,subtitle
343,https://www.youtube.com/watch?v=nos-aVtxvGo&index=3&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:10,202","00:00:12,500",안녕하세요 저는 송해연입니다
1075,https://www.youtube.com/watch?v=4RIAXlLt95w&index=6&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:12,324","00:00:14,106",안녕하세요
1369,https://www.youtube.com/watch?v=WCVuo3xUr7U&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=7,"00:00:20,054","00:00:22,434",네 안녕하세요 조수용입니다
1612,https://www.youtube.com/watch?v=A_zuHvBlvkA&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=8,"00:00:14,000","00:00:15,740",안녕하십니까 아주대학교 외과에서 근무하는
2050,https://www.youtube.com/watch?v=qI2-jjMmV8M&index=9&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:13,452","00:00:18,274","여러분, 안녕하세요 반갑습니다"
2878,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:00:14,283","00:00:20,202",안녕하세요 MBC  드라마 PD 김민식입니다
3043,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:08:46,444","00:08:49,548","저 혼자 방긋방긋 웃으면서 ""안녕하세요, 선생님~"""
3202,https://www.youtube.com/watch?v=qMR6q4GE-H8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=13,"00:00:49,831","00:00:53,630",안녕하세요 '뇌 속에는  또 다른 뇌가 있다' 의 저자
3453,https://www.youtube.com/watch?v=GhbTQenkOA4&index=14&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:19,918","00:00:23,318",안녕하세요
3535,https://www.youtube.com/watch?v=GhbTQenkOA4&index=14&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:05:31,928","00:05:35,809","뭘 하냐하면 ""안녕하세요"" 얘기도 하고 악수도 하고 여러가지 말을 걸어 줍니다"
3714,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:20,680","00:00:23,222",안녕하세요
3715,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:25,382","00:00:28,074",안녕하세요 김창옥입니다
3729,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:01:25,637","00:01:29,809",“안녕하세요 고객님 어서 오십시오” 라고 하는 건 어렵지 않아요
3732,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:01:34,739","00:01:37,818",“안녕하십니까 고객님 어서 오십시오”
3735,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:01:45,010","00:01:48,920",“안녕하십니까~~~” (이상한 목소리)
3877,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:10:46,199","00:10:49,540",안녕하세요 이렇게  정신적으로 문제가 있어서 왔습니다
3886,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:11:18,710","00:11:20,590","제가 이렇게  ""안녕하세요 이렇게 왔습니다"""
3967,https://www.youtube.com/watch?v=2M9jJJqugvY&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=16,"00:00:10,360","00:00:16,347",네 안녕하세요
4295,https://www.youtube.com/watch?v=ap1vJoymPUg&index=17&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:13,591","00:00:17,454",안녕하세요
4583,https://www.youtube.com/watch?v=AjkRxUjkTWE&index=18&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:11,239","00:00:15,047",안녕하세요
4747,https://www.youtube.com/watch?v=R5xPW-d6Bc0&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=19,"00:00:11,142","00:00:14,822","안녕하세요, 저는 26살  먹은 표시형이라고 합니다"
4786,https://www.youtube.com/watch?v=R5xPW-d6Bc0&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=19,"00:02:15,547","00:02:18,501",안녕하세요 '열정에 기름 붓기'  공동대표 표시형입니다
5046,https://www.youtube.com/watch?v=sFe6KEWsYuU&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=20,"00:00:13,370","00:00:16,310",안녕하세요 '소녀 방앗간'의 김민영입니다
5269,https://www.youtube.com/watch?v=YjCJNxE0xfo&index=21&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:14,501","00:00:19,261",안녕하세요 저는 집단지성 번역플랫폼  '플리토'의 대표를 맡고 있는 이정수라고 합니다
6668,https://www.youtube.com/watch?v=mknNRMAc0Zg&index=27&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:13,487","00:00:17,092","안녕하세요, 연규성입니다 반갑습니다"
6888,https://www.youtube.com/watch?v=bMz2ckG4VGE&index=28&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:14,511","00:00:15,825",안녕하세요
6889,https://www.youtube.com/watch?v=bMz2ckG4VGE&index=28&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:17,065","00:00:19,152","안녕하세요, 한유정입니다"
7407,https://www.youtube.com/watch?v=87wXpvbT5-A&index=30&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:19,498","00:00:20,964",안녕하세요
7603,https://www.youtube.com/watch?v=3ppXm07eDFw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=31,"00:00:19,986","00:00:20,986",안녕하세요
7604,https://www.youtube.com/watch?v=3ppXm07eDFw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=31,"00:00:20,986","00:00:22,553",(안녕하세요)
8254,https://www.youtube.com/watch?v=ufU8kxiEkwg&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=34,"00:00:19,737","00:00:21,497",안녕하세요
8471,https://www.youtube.com/watch?v=TqggAb53gxw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=35,"00:00:14,058","00:00:17,111","안녕하세요, 곽정은입니다"
8473,https://www.youtube.com/watch?v=TqggAb53gxw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=35,"00:00:19,338","00:00:22,241",안녕하세요 (안녕하세요)
8955,https://www.youtube.com/watch?v=aWE7t_0OEtY&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=37,"00:00:16,207","00:00:17,233",여러분 안녕하세요
9225,https://www.youtube.com/watch?v=TexGz7w4Kd4&index=38&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:05,562","00:00:07,402","네, 안녕하세요"
9227,https://www.youtube.com/watch?v=TexGz7w4Kd4&index=38&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:11,932","00:00:13,802",안녕하세요 이소은입니다
9461,https://www.youtube.com/watch?v=Dd1k0toSfOk&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=39,"00:00:15,554","00:00:16,754",안녕하세요
9463,https://www.youtube.com/watch?v=Dd1k0toSfOk&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=39,"00:00:20,494","00:00:23,923","안녕하세요, 저는 서예인  인중 이정화입니다"
9684,https://www.youtube.com/watch?v=Xh6IrVHSmHs&index=40&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:16,062","00:00:18,162",안녕하세요
9881,https://www.youtube.com/watch?v=d4nKuhap4_0&index=41&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:19,866","00:00:21,210",안녕하세요
10940,https://www.youtube.com/watch?v=re7PbMUNJLk&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=45,"00:00:16,288","00:00:16,961",안녕하세요
11394,https://www.youtube.com/watch?v=uNDj3YledkQ&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=47,"00:00:12,989","00:00:17,066",안녕하세요
11684,https://www.youtube.com/watch?v=zCDaAhWxQ2Q&index=103&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:10,989","00:00:11,745",안녕하세요
11944,https://www.youtube.com/watch?v=Nu1nMc3g3Uk&index=49&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:09,694","00:00:11,800",안녕하십니까 오현호입니다
11988,https://www.youtube.com/watch?v=Nu1nMc3g3Uk&index=49&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:02:43,098","00:02:46,849","""안녕하십니까, 저희는 무전여행하는  학생들입니다. 밥 좀 주십시오"""
11997,https://www.youtube.com/watch?v=Nu1nMc3g3Uk&index=49&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:03:09,018","00:03:12,984","""어머님 안녕하세요, 저희가  무전여행 중인 대학생들입니다"""
12239,https://www.youtube.com/watch?v=ozdt_rTL57A&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=50,"00:00:17,250","00:00:17,940",안녕하세요
12827,https://www.youtube.com/watch?v=miJhrWBHhwo&index=52&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:23,639","00:00:24,410",안녕하세요
13461,https://www.youtube.com/watch?v=az3RmsPeVT0&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=54,"00:00:17,147","00:00:21,116",와우! 안녕하세요 윤소정입니다. 반갑습니다
13761,https://www.youtube.com/watch?v=myQeHo6IRv8&index=55&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:13,008","00:00:15,279",안녕하세요
14019,https://www.youtube.com/watch?v=MWldHQdVXJ8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=56,"00:00:32,070","00:00:40,570"," 안녕하세요 모두들 <font color=""#E5E5E5"">그리기를 원하십니까? </font>"
14288,https://www.youtube.com/watch?v=4vf71p7VnB8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=57,"00:00:19,199","00:00:20,519",안녕하십니까
14598,https://www.youtube.com/watch?v=W1FP7TVg7ew&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=104,"00:00:12,385","00:00:14,531","안녕하십니까, 고객님"
15568,https://www.youtube.com/watch?v=CkPESgYjL6U&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=61,"00:00:16,318","00:00:17,318",반갑습니다 안녕하세요
16528,https://www.youtube.com/watch?v=DPapoMGWSHY&index=108&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:27,347","00:00:28,814",안녕하세요
17094,https://www.youtube.com/watch?v=OQ-dWuMo6cU&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=110,"00:00:14,658","00:00:16,114","여러분, 안녕하십니까"
17322,https://www.youtube.com/watch?v=XQ0m1AOTQwc&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=111,"00:00:09,370","00:00:12,334",안녕하세요 장성은입니다
17569,https://www.youtube.com/watch?v=XScA9iEPe5Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=112,"00:04:59,356","00:05:02,270","안녕하세요, 아리랑 유랑단  단장이자 한국문화 기획꾼"
17738,https://www.youtube.com/watch?v=KAJygBMVHa8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=113,"00:00:06,443","00:00:08,012",안녕하세요
17740,https://www.youtube.com/watch?v=KAJygBMVHa8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=113,"00:00:18,711","00:00:21,582",안녕하세요 반갑습니다
18045,https://www.youtube.com/watch?v=4FqDHKDsoDE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=114,"00:00:17,474","00:00:25,130",안녕하세요. 온세상을 흔들어 춤을 추게 하고 싶은 스윙댄서 김잔디입니다.
18216,https://www.youtube.com/watch?v=r99ob-WyD20&index=72&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:30,127","00:00:32,942",안녕하세요 더플레이컴퍼니의 강윤정입니다
18477,https://www.youtube.com/watch?v=NQxBoQFmQdY&index=73&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:13,656","00:00:16,263",네 안녕하세요
18478,https://www.youtube.com/watch?v=NQxBoQFmQdY&index=73&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:16,263","00:00:19,117",안녕하세요 뮤지컬 배우 박소연입니다 인사드리겠습니다
18651,https://www.youtube.com/watch?v=TpmeW6ahNl0&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=74,"00:00:22,401","00:00:26,463","네 여러분, 안녕하세요  반갑습니다"
18815,https://www.youtube.com/watch?v=Us1jwOyVgBw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=75,"00:00:13,449","00:00:14,451",안녕하세요
18984,https://www.youtube.com/watch?v=c2CJllQHkDs&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=76,"00:00:14,487","00:00:16,507",안녕하세요
18985,https://www.youtube.com/watch?v=c2CJllQHkDs&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=76,"00:00:19,507","00:00:21,733",안녕하세요 반갑습니다
19272,https://www.youtube.com/watch?v=QDYFwWvQqfw&index=115&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:03:18,888","00:03:22,639",웃는다구요 어머 안녕하세요 잘지내시죠
19438,https://www.youtube.com/watch?v=QPkdqUG379Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=116,"00:00:10,991","00:00:12,854",안녕하세요
19439,https://www.youtube.com/watch?v=QPkdqUG379Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=116,"00:00:12,854","00:00:14,947",(안녕하세요)
19764,https://www.youtube.com/watch?v=LG0cLnZDYdg&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=79,"00:00:11,782","00:00:13,914",안녕하세요 조선희입니다
20012,https://www.youtube.com/watch?v=MJUxnjMvTi0&index=80&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:18,428","00:00:19,230",안녕하세요
21106,https://www.youtube.com/watch?v=2XK4kEL7D1M&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=84,"00:00:12,520","00:00:14,146","네, 안녕하세요"
21418,https://www.youtube.com/watch?v=AhfumgOTyUI&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=85,"00:00:12,717","00:00:14,538",안녕하세요
21422,https://www.youtube.com/watch?v=AhfumgOTyUI&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=85,"00:00:24,750","00:00:28,416",안녕하세요 저는 최재웅이라고 합니다
22091,https://www.youtube.com/watch?v=1CdWEC6WZwM&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=87,"00:00:15,854","00:00:18,609",안녕하세요 교육 평론가 이범입니다
22747,https://www.youtube.com/watch?v=HKl99Bg6be4&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=118,"00:00:12,887","00:00:14,609",안녕하세요 최영환 입니다
22814,https://www.youtube.com/watch?v=HKl99Bg6be4&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=118,"00:03:35,841","00:03:38,508",안녕하십니까 저는 최전방에 있는 누구누구인데
23349,https://www.youtube.com/watch?v=buMvCfxJxwA&index=91&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:13,907","00:00:15,394","네, 안녕하세요"
23696,https://www.youtube.com/watch?v=aij9Q_tEO-I&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=92,"00:00:08,994","00:00:14,014",안녕하세요  평화를 여행하는 사람 임영신입니다
23960,https://www.youtube.com/watch?v=TBqKHlWnaUs&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=94,"00:00:17,720","00:00:22,583",안녕하세요  저는 미국에서 온 최영재입니다
24166,https://www.youtube.com/watch?v=0xK5ytIsE2Q&index=119&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:15,262","00:00:19,120","안녕하세요, 하하하 (안녕하세요)"
24410,https://www.youtube.com/watch?v=ZL-UCOjf4iQ&index=96&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:13,343","00:00:15,021",반갑습니다 안녕하세요
25354,https://www.youtube.com/watch?v=dnGyOipKyfk&index=99&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:04:45,305","00:04:48,873",인사를 할 때도 그냥  '안녕하세요' '들어오세요'
25620,https://www.youtube.com/watch?v=ijjDioFrBDk&index=121&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:14,818","00:00:17,628",안녕하세요  이주희입니다
26097,https://www.youtube.com/watch?v=rxOz8PV_d50&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=102,"00:00:10,793","00:00:12,925","예, 안녕하세요  유인경입니다"
26122,https://www.youtube.com/watch?v=rxOz8PV_d50&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=102,"00:01:20,270","00:01:23,654",'안녕하세요' 라고 인사를  하는 순간의 태도의 따라서
